TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
690.5,spuh,penelo1,Penelope sp.,Penelope sp.,Penelope sp.,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",NA,NA,NA,NA,NA
734.5,spuh,curass1,Cracidae sp. (curassow sp.),curassow sp.,curassow sp.,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",NA,NA,NA,NA,NA
734.7,spuh,cracid1,Cracidae sp.,Cracidae sp.,Cracidae sp.,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",NA,NA,NA,NA,NA
768,species,mouqua,Oreortyx pictus,Mountain Quail,Mountain Quail,Galliformes,Odontophoridae (New World Quail),NA,NA,1,220,NA
775,species,scaqua,Callipepla squamata,Scaled Quail,Scaled Quail,Galliformes,Odontophoridae (New World Quail),NA,NA,1,180,NA
786,species,calqua,Callipepla californica,California Quail,California Quail,Galliformes,Odontophoridae (New World Quail),NA,NA,1,180,NA
796,species,gamqua,Callipepla gambelii,Gambel's Quail,Gambel's Quail,Galliformes,Odontophoridae (New World Quail),NA,NA,1,180,NA
805,species,norbob,Colinus virginianus,Northern Bobwhite,Northern Bobwhite,Galliformes,Odontophoridae (New World Quail),NA,NA,1,170,NA
894,spuh,wood-q1,Odontophorus sp.,wood-quail sp.,wood quail sp.,Galliformes,Odontophoridae (New World Quail),NA,NA,NA,NA,NA
913,species,monqua,Cyrtonyx montezumae,Montezuma Quail,Montezuma Quail,Galliformes,Odontophoridae (New World Quail),NA,NA,2,180,NA
926,spuh,quail1,Odontophoridae sp.,new world quail sp.,new world quail sp.,Galliformes,Odontophoridae (New World Quail),NA,NA,NA,180,Using mass of GAQU
996,spuh,arboro1,Arborophila sp.,Arborophila sp.,Arborophila sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,NA
